,01.03.2026 21:28:44,01.03.2026 21:33:06,02.03.2026 04:49:44,03.03.2026 04:48:12,04.03.2026 04:41:46,05.03.2026 04:46:03,06.03.2026 04:43:30,07.03.2026 04:22:33,08.03.2026 04:44:24,09.03.2026 04:53:08,10.03.2026 04:43:29,11.03.2026 04:44:32,13.03.2026 04:45:44,14.03.2026 04:43:46,15.03.2026 05:07:16,16.03.2026 05:17:23,17.03.2026 04:53:12,18.03.2026 04:58:00,19.03.2026 04:55:59,20.03.2026 04:48:40
05.03.2026 - 19.03.2026,,,,,9390,9566,,,,,,,,,,,,,,
12.03.2026 - 26.03.2026,8800,8800,8800,9443,10327,10268,10093,10093,8890,9390,,,,,,,,,,
19.03.2026 - 02.04.2026,10423,10423,10423,10832,11247,11539,11598,11598,11832,11832,12065,11013,8208,,,,,,,
09.04.2026 - 23.04.2026,10555,10555,10555,11198,11205,11146,11146,10795,10295,10795,10912,11375,11141,11375,11258,11258,10907,11141,11375,10907
23.04.2026 - 07.05.2026,10194,10194,10194,10662,10668,11019,10844,10844,10844,10844,11078,10902,10902,10902,10902,10902,10551,10551,10376,10376
01.10.2026 - 15.10.2026,10095,10095,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100
08.10.2026 - 22.10.2026,10095,10095,10100,10100,10100,10100,10100,10100,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206,10206
22.10.2026 - 05.11.2026,10200,10200,10205,10205,10205,10318,10318,10318,10318,10318,10227,10227,10227,10227,10227,10227,10227,10227,10227,10227
29.10.2026 - 12.11.2026,10337,10337,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343,10343
05.11.2026 - 19.11.2026,10374,10374,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380,10380
26.11.2026 - 10.12.2026,9996,9996,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
03.12.2026 - 17.12.2026,9996,9996,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
10.12.2026 - 24.12.2026,10054,10054,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060
17.12.2026 - 31.12.2026,10658,10658,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664
24.12.2026 - 07.01.2027,10941,10941,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947,10947
31.12.2026 - 14.01.2027,10438,10438,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444,10444
07.01.2027 - 21.01.2027,10114,10114,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
14.01.2027 - 28.01.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280
21.01.2027 - 04.02.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280
28.01.2027 - 11.02.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10486,10486,10486
04.02.2027 - 18.02.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280
11.02.2027 - 25.02.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280
18.02.2027 - 04.03.2027,10154,10154,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160
25.02.2027 - 11.03.2027,10154,10154,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160
04.03.2027 - 18.03.2027,9996,9996,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10098,10098
11.03.2027 - 25.03.2027,10054,10054,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060
18.03.2027 - 01.04.2027,9937,9937,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943
25.03.2027 - 08.04.2027,10054,10054,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060,10060
08.04.2027 - 22.04.2027,9996,9996,10001,10001,10001,10001,10001,10001,10001,10001,10098,10006,10006,10006,10006,10006,10006,10006,10006,10006
22.04.2027 - 06.05.2027,10274,10274,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280,10280
