,01.03.2025 03:35:10,02.03.2025 03:32:15,03.03.2025 03:33:31,04.03.2025 03:34:03,05.03.2025 03:31:56,12.03.2025 03:33:44,13.03.2025 03:35:08,14.03.2025 03:34:22,15.03.2025 03:31:29,16.03.2025 03:37:11,16.03.2025 22:27:06,17.03.2025 03:36:09,19.02.2025 22:14:23,20.02.2025 03:28:34,21.02.2025 03:28:58,22.02.2025 03:26:20,23.02.2025 03:29:40,24.02.2025 03:31:52,25.02.2025 03:31:22,26.02.2025 03:31:05,27.02.2025 03:31:22,27.02.2025 23:28:29,28.02.2025 03:31:26
22.03 - 03.04,8356,8356,,,,,,,,,,,,,,,,,,,,8213,8213
06.11 - 17.11,,,8765,8765,8765,8856,8856,8856,8856,,,,,,,,,,,,,,
16.11 - 28.11,8608,8608,,,,,,,,,,,,,,,,,,,,8382,8382
27.11 - 08.12,,,8146,8146,8146,8298,8298,8298,8298,8348,8348,8348,,,,,,,,,,,
07.12 - 19.12,8374,8374,,,,,,,,,,,,,,,,,,,,8229,8229
18.12 - 29.12,,,9465,9465,9465,9768,9768,9768,9768,,,,,,,,,,,,,,
28.12 - 09.01,10079,10079,,,,,,,,,,,,,,,,,,,,9924,9924
08.01 - 19.01,,,8398,8398,8398,8448,8448,8448,8448,8448,8448,8448,,,,,,,,,,,
18.01 - 30.01,9518,9518,,,,,,,,,,,,,,,,,,,,9367,9367
29.01 - 09.02,,,9225,9225,9225,9276,9276,9276,9276,9276,9276,9276,,,,,,,,,,,
08.02 - 20.02,9407,9407,,,,,,,,,,,,,,,,,,,,9257,9257
19.02 - 02.03,,,9098,9098,9098,9184,9184,9184,9184,,,,,,,,,,,,,,
01.03 - 13.03,8694,8694,,,,,,,,,,,,,,,,,,,,8549,8549
02.03 - 14.03,6244,5144,,,,,,,,,,,7397,7397,7327,7397,6512,7012,7287,6957,6517,6737,6737
12.03 - 23.03,,,8294,8294,8294,8416,8416,8416,8416,8416,8416,8416,,,,,,,,,,,
